brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
81824,sold,-,,3,-0.76,63 Field Dr,nan,nan,29154,-,2021-12-22
nan,nan,$479000,nan,,-1.97,47 Lincoln Road,-,-,nan,8.519140266299357e-05,01/04/22
-,,$278900,3,-,-,nan,nan,,42,,07/01/16
Taylor Carpenter,-,,,,0.03,896 Sunset Ct,Stockholm,nan,33050,1.1514290633608815e-05,nan
Taylor Miller,,$389854,,2,nan,-,London,Idaho,-,1574,12/17/21
,,$249900,3,0,-1.8,672 West Place,Stuarts Draft,,24,1827,2022-02-14
-,s,$350000,9999,2,,70 Cedar Drive,-,nan,,6.029757805325987e-05,02/23/22
,,-,9999,,-0.56,,Melbourne,Florida,-,3056,
Anne Alwin,s,849500,9999,3,0.18,,Houston,TX,,2150,2021-12-31
-,-,,9999,nan,0.33,nan,nan,-,-,5.222681359044995e-05,2017-07-26
nan,nan,497288,nan,,-1.97,47 Lincoln Road,-,-,nan,8.519140266299357e-05,01/04/22
-,,$278900,3,-,-,nan,nan,,42,1923,07/01/16
,f,330000,nan,0,-0.69,,Lisbon,New York,12401,1062,2014-07-01
65293,nan,$725000,-,3,1.04,nan,London,Nevada,89441,,nan
,nan,440000,9999,3,-0.7,82 Lincoln Ave,nan,,,-,
687,s,$355000,9999,,-0.28,272 Terrace Lane,Madrid,Florida,32828,6.686179981634527e-05,nan
84529,nan,19232,,0,nan,162 Mill St,-,,-,-,2011-11-14
nan,-,nan,9999,0,-,nan,-,Indiana,-,-,06/19/20
78247,sold,nan,9999,,-1.85,676 South Boulevard,Troy,IL,62,-,01/26/22
William Davis,for_sale,44542,6,-,-,400 Adams Ct,-,New York,,-,2017-05-05
106177,f,,nan,,0.27,411 Wilson Avenue,-,GA,31,6.313131313131313e-05,06/03/02
104873,nan,910359,4,,,210 Church Ln,-,TX,nan,0.00014907598714416896,nan
57424,-,nan,nan,-,-1.35,,Livermore,CA,94,1785,
65293,nan,731262,-,3,1.04,nan,London,Nevada,89441,,nan
92736,for_sale,222788,3,,,,nan,OK,74,1144,12/29/17
,nan,440000,,3,-0.7,82 Lincoln Ave,nan,,,-,
,sold,779515,9999,2,0.27,285 Center Lane,Fairfax,,nan,,12/10/21
10649,nan,31616,-,-,0.2,nan,-,PA,15,-,
nan,sold,-,3,nan,,977 Adams Boulevard,-,Massachusetts,18,7.930871212121212e-05,
-,for_sale,$599500,5,3,,nan,-,NC,28467,-,-
Robert Martinez,f,$115900,4,-,0.15,-,-,Ohio,-,nan,
-,nan,$1300000,9999,nan,-,nan,Julian,-,-,986,-
nan,-,nan,,nan,-1.75,73 Franklin Rd,,-,,,nan
-,nan,,,,nan,981 Harbor Avenue,Chicago,Illinois,60,1171,-
2765,-,,3,0,,699 Wilson Drive,-,nan,38,,04/15/22
78139,for_sale,38629,,0,,,Rome,-,-,,-
Michael Miller,s,-,,,0.15,,Natick,nan,nan,,
Joseph Antonoff,-,$419000,nan,4,,,Irving,-,75,nan,nan
Sophia Carpenter,nan,nan,-,0,,-,,VA,-,2075,nan
Charles Smith,nan,519950,9999,-,-,nan,Stockholm,Alabama,nan,2778,nan
nan,-,$425000,-,2,nan,226 Square Road,nan,nan,,-,07/06/01
William Davis,for_sale,,6,-,-,400 Adams Ct,-,New York,,-,2017-05-05
William Carpenter,nan,,nan,-,0.21,293 Terrace Ct,Skaneateles,NY,13152,1918,
Thomas Brown,f,$550000,3,,nan,nan,nan,Virginia,22,nan,09/29/11
,sold,$749000,9999,2,0.27,285 Center Lane,Fairfax,,nan,,12/10/21
78139,for_sale,-,,0,,,Rome,-,-,,-
