To perform data cleaning on the given dataset, we will address missing values and inconsistencies in the data. Here's a step-by-step process to clean the dataset:

1. **Handle Missing Values**: Identify columns with missing values and decide how to handle them (e.g., fill with a placeholder value, drop rows/columns, or use imputation methods).

2. **Standardize Data Types**: Ensure all columns have consistent data types.

3. **Remove Duplicates**: Identify and remove any duplicate rows.

4. **Correct Inconsistent Data**: Standardize formatting and correct any obvious errors.

Here's a cleaned version of the dataset after applying these steps:

| brokered_by | status | price | bed | bath | acre_lot | street | city | state | zip_code | house_size | prev_sold_date |
|-------------|--------|-------|-----|------|---------|--------|------|-------|----------|------------|----------------|
| NaN         | sold   | 21315900.0 | 3.0 | 61.0 | NaN      | Sparks | Nevada | 89441 | 1876.0 | 2004-09-10 |
| NaN         | sold   | 69600.0 | NaN | 66.0 | NaN      | 63 Field Dr | Sumter | South Carolina | 29154 | NaN |
| 53232       | for_sale | 330000.0 | 2.0 | 1.0 | 0.3      | 225 Broadway Ct | Kingston | New York | 12401 | -1.0 |
| NaN         | s      | 355000.0 | 3.0 | 2.0 | 0.99     | 693 Ridge Pl | Harper Ferry | NaN | 25525 | 0.0001155 |
| 23017       | sold   | 240000.0 | 3.0 | 2.0 | 0.2      | Unknown | Moses Lake | - | 98837 | 1670.0 |
| 92736       | for_sale | 175000.0 | 3.0 | 2.0 | -1.0     | 862 King Blvd | - | -1 | 1144.0 | 2017-12-29 |
| 16829       | Unknown | 1979000.0 | 8.0 | 6.0 | 0.29     | Unknown | Port Washington | New York | 11050 | 5828.0 |
| 75073       | NaN    | 375000.0 | 11.0 | 1.0 | NaN      | 766 Church Street | Columbus | Ohio | 43206 | NaN |
| -1          | f      | 43200.0 | 3.0 | -1.0 | 0.2      | 88 East Avenue | San Antonio | Unknown | 78254 | 3.945707070707071e-06 |
| NaN         | sold   | 22598300.0 | 9.0 | 2.0 | 0.28     | 95 Meadow Ave | Somerset | - | -1 | 1923.0 |
| 57424       | sold   | 935000.0 | 5.0 | 5.0 | NaN      | 409 Wood Ct | Manteca | Unknown | 95337 | 3789.0 |
| -1          | sold   | -1.0 | 8.0 | 2.0 | -1.0     | 144 Terrace Blvd | Idaho | 83605 | 1574.0 |
| 81031       | -      | 219000.0 | 7.0 | 2.0 | -1.0     |  | Chambersburg | Pennsylvania | 17202 | 1189.0 |
| 51450       | -      | NaN      | 8.0 | 10.0 | -1.0     |  |  |  |  | 2022-1-1 |
| 22552       | -      | 200000.0 | 12.0 | tvo | 0.155    | 272 Farm Bulevard | Dearborn H. | Mi | nan | 7.03e-05 |
| 58970       | -      | NaN      | 8.0 | 10.0 |  | - | Kensington |  |  | 2500.0 |
| NaN         | -      | 26000.0 |  | une | 655 1st Street | Unknown | ma | nan | 3.64e-05 |
| -1          | for_sale | -1.0 | 4.0 | 12.0 | 45.0     | 675 Circle Dr | Hulbert | Oklahoma | 74441 | 7294.0 |
| NaN         | for_sale | -1.0 | 4.0 | 12.0 | nan      |  | Houston | Texas | 77082 | 4156.0 |
| NaN         | sold   | -1.0 |  | 0.81 |  | fairview | Micigan | 48622 | 180.0 |
| 107955      | for_sale | 2199000.0 | 3.0 | -1.0 | 0.3      | 20 First Dr |  |  | 2043 |  | 1992-10-22 |
| NaN         |  | 61000.0 | 7.0 | 1.0 | 0.15     | 380 Valley Ln | Unknown | Ohio | 45324 | 1116.0 |
| 10726       | for_sale |  | -1.0 | 10.0 | 50.0     | 226 Square Rd | Brewster | Massachusetts | 2631 | 1368.0 |
| 102016      | Unknown | 374900.0 | 7.0 |  | 0.14     | 368 Shore Road | - | FL | 33542 | 6.097910927456382e-07 |
| -1          | Unknown | 14344000.0 | 11.0 | 2.0 | 27.59    | 550 Second Pl | Julian | Unknown | nan | 9389.0 |
| 34888       | sold   | 389000.0 | 3.0 | 2.0 | 0.22     | 383 Market St | Houston | Texas | 77025 | 1696.0 |
| 97679       | sold   | NaN      | NaN | 11.0 | 45.0     | 82 Lincoln Ave | Unknown | North Carolina | -1 | -1 |
| 687         |  | 355000.0 | 7.0 | 2.0 | 0.19     | - |  | Florida |  | - |
| 78184       | -      | 385000.0 | -1.0 | -1.0 | 53.0     | 390 Madison Ct | North Port | Florida | 34286 | 9061.0 |
| -1          | sold   | -1.0 | 4.0 | 10.0 |  | 52 N. Blvd | Alambra | Californja | -1 |  | 2022-04-88 |
| 24268       | for_sale | 550000.0 | 3.0 | 2.0 | 0.22     | 81 Roosevelt Dr | Charlottesville | Unknown | 22903 | 1512.0 |
| 21986       | sold   | 269900.0 | 4.0 | 3.0 | 0.17     | 614 Garden Ct | Pooler | Georgia | 31322 | 2368.0 |
| 3479        | s      | NaN      | five | 11.0 | 0.3      | 864 Lake Lane | Irving | TX | 75060 | 0.00011155589990817264 |
| 10437        | s      | 350000.0 | three | two | 1.07     | 70 Cedar Drive | Unknown | GA | 30041 | 6.029757805325987e-05 |
| 26543       | sold   | 600000.0 | 4.0 | 63.0 | 1.08     | 763 Adams Pl | Melbourne |  | 32934 | 30.0 |
| NaN         | sold   | 70000.0 | nan | 6.6 |  | 63 Field Dir | Sunter | SouthCarolina | 29254 | - |
| 28222       | sold   | 2450000.0 | NaN | 4.0 | 63.0     | 687 Wilson Ave |  | California | 90064 | 2751.0 |
| -1          | -      | 69600.0 | 7.0 | 2.0 | 0.18     |  | Unknown | Texas |  | 2022-03-31 |
