brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
,-,,,1.0,-1,655 First St,,Massachusetts,-1,1015.0,
109978,-,760000,-1,2.0,,-,,,,,2021-12-22
109987,Unknown,490000,,4.0,-1,229 Broadway Ave,Corpus Christi,Texas,,-1.0,2019-04-03
53173,sold,350000,3,,0.9,Unknown,Unknown,,25425,,
,sold,,-1,,0.06,,Alexandria,Virginia,,,
,Unknown,-1,,,-1,Unknown,Spokane,Washington,99207,2084.0,-
101497,Unknown,129900,4,,1.95,575 King Pl,Eastover,South Carolina,29044,2128.0,2021-09-20
,for_sale,-1,,2.0,0.83,-,,Massachusetts,2631,1368.0,-
53016,-,239000,3,,0.56,-,Oak Ridge,-,37830,,2022-02-02
,,725000,-1,3.0,1.04,,Sparks,,-1,1876.0,2004-09-10
,,749000,,-1,0.27,Unknown,Fairfax,Virginia,22030,,
,,398000,3,,,,-,Illinois,-1,1171.0,2021-11-30
,Unknown,278900,3,2.0,,95 Meadow Ave,Somerset,Unknown,-1,-1,2016-07-01
,-,-1,3,-1,0.14,368 Shore Rd,-,Florida,33542,1694.0,2019-04-25
81311,Unknown,575000,5,-1,-1,,-,,-1,,2022-04-22
-1,-,,2,-1,,550 Second Pl,Julian,Unknown,,986.0,
,for_sale,550000,3,2.0,-1,81 Roosevelt Dr,Charlottesville,Unknown,22903,1512.0,2011-09-29
31355,sold,-1,5,,,-,,-,55424,4905.0,-
-1,-,479000,,3.0,,47 Lincoln Rd,Bowie,-,20720,,2022-01-04
-1,-,-1,-1,3.0,0.07,,Unknown,North Carolina,-1,-1.0,-
78184,Unknown,385000,-1,,,Unknown,North Port,Florida,,1708.0,-
81671,sold,,,,8.36,651 Vista Blvd,Unknown,-,65552,1784.0,-
,,115900,-1,1.0,0.15,380 Valley Ln,Unknown,Ohio,,1116.0,2020-08-03
28222,,2450000,-1,4.0,0.19,,Unknown,-,90064,2751.0,Unknown
8,Unknown,,3,-1,,Unknown,-,Wyoming,82007,,
-1,sold,-1,,-1,,168 Bridge Pl,-,-,63122,2032.0,2021-11-23
