brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
nan,,292677,five,3,0.0017,"Field Dr, 63",Sumter,South Carolina,29154,3040,12/22/21,106
nan,s,$479000,three,3,0.014,"Lincoln Rd, 47",Bowie,MD,20720,2375,01/04/22,10
,for_sale,$278900,three,2,0.7,95 Meadow Ave,Somerset,Kentucky,-1,6.897813360881542e-05,07/01/16,11
,for_sale,265000,1,one,0.03,"Sunset Ct, 896",Marathon,Florida,33050,321,09/20/04,"19,46"
68269,sold,68200,three,2,0.15,144 Terrace Blvd,Caldwell,Idaho,,1574,2021-12-17,139
59082,sold,249900,three,2,0.0091,672 West Pl,Stuarts Draft,Virginia,24477,1827,Unknown,98
nan,sold,$350000,11,2,1.07,70 Cedar Dr,Cumming,GA,30041,6.029757805325987e-05,2022-02-23,"93,94"
10726,for_sale,425000,10,two,0.83,226 Square Rd,Brewster,Massachusetts,-1,120.0,2001-07-06,"87,133"
-1,s,479000,3,3,0.0052,47 Lincoln Rd,-,Maryland,20720,2375,01/04/22,1
78460,for_sale,278900,3,2,0.7,95 Meadow Ave,Somerset,Kentucky,42503,1923,2016-07-01,2
65293,for_sale,725000,3,3,0.0055,715 Terrace Dr,Sparks,Nevada,-1,6.729224058769513e-05,2004-09-10,23
84529,for_sale,1075000,3,three,0.06,162 Mill St,Tustin,CA,92782,6.91574839302112e-05,2011-11-14,58
105798,for_sale,155990,4,three,0.21,195 Spring Ave,Unknown,Indiana,47320,2009,2020-06-19,127
78247,sold,339900,3,2,0.0078,676 South Blvd,,Illinois,,1613,2022-01-26,91
,for_sale,$265000,1,one,0.03,"Sunset Ct, 896",,FL,33050,321,09/20/04,"3,46"
104873,Unknown,888000,7,nan,0.21,210 Church Ln,Houston,Texas,77082,0.00014907598714416896,09/26/13,50
nan,for_sale,999000,3,2,0.0016,"Princess Dr, 277",Livermore,California,94550,1785,2022-04-22,54
65293,f,86300,3,3,0.0047,715 Terrace Dr,Sparks,-,89441,1876,2004-09-10,13
