brokered_by,status,price,acre_lot,zip_code,house_size,prev_sold_date,address,bedrooms_bathrooms
,,,,,,,,
109978,sold,760000,0.36,92026,1888,2021-12-22,"760 Madison Ln, Escondido, California","3, 2"
109987,for_sale,490000,0.16,78418,2416,2019-04-03,"229 Broadway Ave, Corpus Christi, Texas","3, 4"
53173,sold,350000,0.9,25425,3220,2021-12-10,"693 Ridge Pl, Harpers Ferry, West Virginia","3, 2"
96817,sold,425000,0.06,22309,2075,2022-02-04,"33 Pine Ave, Alexandria, Virginia","4, 3"
96014,sold,370000,0.12,99207,2084,2022-04-05,"224 Lincoln St, Spokane, Washington","4, 2"
101497,for_sale,129900,1.95,29044,2128,2021-09-20,"575 King Pl, Eastover, South Carolina","4, 2"
10726,for_sale,425000,0.83,2631,1368,2001-07-06,"226 Square Rd, Brewster, Massachusetts","3, 2"
53016,sold,239000,0.56,37830,1724,2022-02-02,"829 Main Blvd, Oak Ridge, Tennessee","3, 2"
65293,for_sale,725000,1.04,89441,1876,2004-09-10,"715 Terrace Dr, Sparks, Nevada","3, 3"
,,,,,,,,
104876,sold,398000,0.11,60659,1171,2021-11-30,"981 Harbor Ave, Chicago, Illinois","3, 2"
78460,for_sale,278900,0.7,42503,1923,2016-07-01,"95 Meadow Ave, Somerset, Kentucky","3, 2"
102016,for_sale,374900,0.14,33542,1694,2019-04-25,"368 Shore Rd, Zephyrhills, Florida","3, 2"
81311,sold,575000,0.22,28451,3057,2022-04-22,"827 Elm Ct, Leland, North Carolina","5, 4"
32769,for_sale,1300000,27.59,92036,986,2020-05-15,"550 Second Pl, Julian, California","2, 3"
24268,for_sale,550000,0.22,22903,1512,2011-09-29,"81 Roosevelt Dr, Charlottesville, Virginia","3, 2"
31355,sold,2365000,0.19,55424,4905,2021-12-30,"592 Meadow Ave, Edina, Minnesota","5, 5"
53138,sold,479000,0.22,20720,2375,2022-01-04,"47 Lincoln Rd, Bowie, Maryland","3, 3"
97679,sold,440000,0.07,28210,2053,2022-03-07,"82 Lincoln Ave, Charlotte, North Carolina","3, 3"
78184,sold,385000,0.23,34286,1708,2022-03-18,"390 Madison Ct, North Port, Florida","3, 3"
81671,sold,325000,8.36,65552,1784,2021-12-17,"651 Vista Blvd, Plato, Missouri","3, 2"
,,,,,,,,
28222,sold,2450000,0.19,90064,2751,2022-02-22,"687 Wilson Ave, Los Angeles, California","4, 4"
8,for_sale,517300,35.0,82007,3018,2022-10-31,"624 River Ln, Cheyenne, Wyoming","3, 2"
75016,sold,317900,0.22,63122,2032,2021-11-23,"168 Bridge Pl, Kirkwood, Missouri","2, 2"
57424,for_sale,999000,0.15,94550,1785,2022-04-22,"277 Princess Dr, Livermore, California","3, 2"
3479,sold,419000,0.3,75060,3110,2021-12-09,"864 Lake Ln, Irving, Texas","5, 4"
2177,sold,479900,0.13,80550,2638,2022-03-18,"842 Cedar Dr, Windsor, Colorado","3, 2"
106177,for_sale,399500,0.27,31405,1760,2002-06-03,"411 Wilson Ave, Savannah, Georgia","3, 3"
20385,for_sale,599500,0.37,28467,3058,2020-03-24,"217 Church Ln, Calabash, North Carolina","5, 3"
59082,sold,249900,0.41,24477,1827,2022-02-14,"672 West Pl, Stuarts Draft, Virginia","3, 2"
4630,for_sale,519950,0.13,35801,2778,2020-03-09,"906 Mill Blvd, Huntsville, Alabama","4, 3"
7689,sold,98500,9.0,48621,2064,2022-04-14,"272 Broadway Ln, Fairview, Michigan","4, 1"
26543,sold,600000,1.08,32934,3056,2022-01-21,"763 Adams Pl, Melbourne, Florida","4, 3"
84534,sold,689900,0.07,22180,2075,2022-04-22,"920 Field Dr, Vienna, Virginia","3, 4"
53232,for_sale,330000,0.3,12401,1062,2014-07-01,"225 Broadway Ct, Kingston, New York","2, 1"
45913,sold,250000,0.86,12804,1883,2021-11-23,"94 Washington Ave, Queensbury, New York","3, 2"
45807,for_sale,375000,6.69,44442,1747,1991-04-17,"157 Market Pl, New Middletown, Ohio","3, 2"
,,,,,,,,
26012,sold,259900,0.13,59405,1632,2021-11-09,"391 Bridge Rd, Great Falls, Montana","4, 2"
22611,for_sale,215000,0.12,60409,1304,2013-08-15,"995 Maple Ave, Calumet City, Illinois","3, 2"
2765,sold,585000,4.44,38555,3352,2022-04-15,"699 Wilson Dr, Crossville, Tennessee","3, 3"
56699,sold,249900,0.29,63011,2037,2022-03-04,"115 Roosevelt Pl, Ellisville, Missouri","3, 2"
,,,,,,,,
,,,,,,,,
15757,for_sale,69900,0.17,73701,1333,2016-06-09,"520 View Rd, Enid, Oklahoma","3, 1"
92736,for_sale,175000,0.26,74055,1144,2017-12-29,"862 King Blvd, Owasso, Oklahoma","3, 2"
34888,sold,389000,0.22,77025,1696,2021-12-16,"383 Market St, Houston, Texas","3, 2"
21986,sold,269900,0.17,31322,2368,2021-12-30,"614 Garden Ct, Pooler, Georgia","4, 3"
107955,for_sale,2199000,0.3,2043,3650,1992-10-22,"20 First Dr, Hingham, Massachusetts","3, 3"
22721,sold,799999,0.15,1760,3422,2022-04-05,"900 Baker Ln, Natick, Massachusetts","4, 4"
76215,sold,339000,0.34,72714,2035,2021-12-07,"60 Franklin Ave, Bella Vista, Arkansas","3, 3"
,,,,,,,,
53592,for_sale,619900,2.1,60050,4145,2020-04-02,"779 Third Blvd, Mchenry, Illinois","4, 6"
78247,sold,339900,0.28,62294,1613,2022-01-26,"676 South Blvd, Troy, Illinois","3, 2"
687,sold,355000,0.19,32828,1864,2021-12-08,"272 Terrace Ln, Orlando, Florida","3, 2"
22611,sold,280000,0.19,15146,1874,2022-04-19,"952 King Rd, Monroeville, Pennsylvania","4, 2"
57424,sold,935000,0.16,95337,3789,2022-02-18,"409 Wood Ct, Manteca, California","5, 5"
23017,sold,240000,0.2,98837,1670,2022-03-09,"922 Square Ave, Moses Lake, Washington","3, 2"
79245,for_sale,599900,0.42,52722,3765,2016-11-21,"254 Princess Ave, Bettendorf, Iowa","5, 5"
86329,for_sale,699000,14.25,36092,4758,2015-02-19,"347 Oak Ln, Wetumpka, Alabama","4, 5"
55214,sold,509900,0.2,92583,2383,2022-05-03,"603 Princess St, San Jacinto, California","3, 3"
81031,sold,219000,0.31,17202,1189,2021-11-24,"73 Lake Ln, Chambersburg, Pennsylvania","3, 2"
10437,sold,350000,1.07,30041,1681,2022-02-23,"70 Cedar Dr, Cumming, Georgia","3, 2"
22916,sold,376000,0.28,28546,3162,2022-04-25,"73 Franklin Rd, Jacksonville, North Carolina","4, 3"
78075,sold,280000,0.06,89506,851,2021-11-19,"686 East Ln, Reno, Nevada","2, 1"
22671,sold,90000,0.09,63115,1152,2022-03-24,"553 Third Ct, Saint Louis, Missouri","3, 2"
19903,sold,849500,0.18,77030,2150,2021-12-31,"249 South Pl, Houston, Texas","3, 3"
105798,for_sale,155990,0.21,47320,2009,2020-06-19,"195 Spring Ave, Albany, Indiana","4, 3"
,,,,,,,,
53177,for_sale,105000,0.24,73801,2036,2007-06-29,"434 Court Ct, Woodward, Oklahoma","3, 2"
103967,for_sale,635000,0.23,8830,2000,2019-02-28,"885 Washington Ave, Iselin, New Jersey","3, 3"
81824,sold,292677,0.29,29154,3040,2021-12-22,"63 Field Dr, Sumter, South Carolina","5, 3"
19415,for_sale,309000,3.0,54862,2025,2020-02-04,"820 View Ln, Ojibwa, Wisconsin","3, 2"
108243,sold,499000,0.18,99337,2289,2022-03-30,"197 Meadow Ct, Kennewick, Washington","3, 3"
68269,sold,389854,0.15,83605,1574,2021-12-17,"144 Terrace Blvd, Caldwell, Idaho","3, 2"
53377,sold,189900,0.28,63114,1624,2022-01-18,"286 Bridge Ln, Saint Louis, Missouri","4, 1"
54093,for_sale,265000,0.03,33050,321,2004-09-20,"896 Sunset Ct, Marathon, Florida","1, 1"
58970,sold,949900,0.23,20895,2500,2021-12-30,"828 Spring St, Kensington, Maryland","3, 4"
,,,,,,,,
78139,for_sale,425000,0.58,81526,987,2006-07-06,"949 Franklin Blvd, Palisade, Colorado","1, 1"
33901,for_sale,225000,0.33,46140,1456,2017-07-26,"417 East Ct, Greenfield, Indiana","2, 2"
,,,,,,,,
53673,for_sale,112900,0.5,48858,1524,2012-08-13,"169 Meadow St, Mount Pleasant, Michigan","3, 2"
16829,for_sale,1979000,0.29,11050,5828,2017-05-05,"400 Adams Ct, Port Washington, New York","6, 6"
45936,for_sale,539900,0.21,13152,1918,2015-06-15,"293 Terrace Ct, Skaneateles, New York","3, 2"
85655,sold,249900,0.22,2831,1310,2022-02-04,"159 Meadow Rd, Scituate, Rhode Island","3, 1"
29538,for_sale,1150000,0.37,90802,1409,2016-06-10,"223 Lake St, Long Beach, California","3, 2"
75073,for_sale,375000,0.1,43206,1328,2020-07-06,"766 Church St, Columbus, Ohio","3, 1"
22217,sold,898000,0.21,91803,1465,2022-04-08,"52 North Blvd, Alhambra, California","3, 2"
5145,sold,750000,0.19,83642,2796,2022-01-10,"59 Park Blvd, Meridian, Idaho","3, 4"
82978,for_sale,335000,0.18,76502,2344,2013-05-01,"71 Hill Ln, Temple, Texas","3, 2"
109950,sold,225000,0.23,76133,1552,2022-01-19,"414 Second Ln, Fort Worth, Texas","3, 2"
56084,sold,279900,0.16,53704,1699,2021-12-17,"593 Elm Ave, Madison, Wisconsin","2, 2"
10649,sold,219900,0.2,15101,1188,2022-04-13,"430 Church Rd, Allison Park, Pennsylvania","3, 2"
104873,for_sale,888000,0.21,77082,4156,2013-09-26,"210 Church Ln, Houston, Texas","4, 4"
22562,for_sale,210000,0.15,48125,1960,2010-10-14,"272 Farm Blvd, Dearborn Heights, Michigan","3, 2"
78200,sold,149000,0.15,44314,1560,2022-02-09,"688 Garfield Ct, Akron, Ohio","3, 2"
78167,sold,350000,0.15,55426,1908,2022-04-01,"324 Sunset St, Saint Louis Park, Minnesota","3, 2"
