brokered_by;status;price;bed;bath;acre_lot;street;city;state;zip_code;house_size;prev_sold_date;duplicate
;-;;;;14.0;;Sumter;South Carolina;29154.0;Unknown;Unknown;106
-1.0;Unknown;61900;-;3;;47 Lincoln Rd;Bowie;;20720.0;-;2022-01-04;10
-1.0;Unknown;25800;9;3;;95 Meadow;Somersete;-;;Unknown;2016-8-1;11
54093.0;-;265000;Unknown;1;;;-;Florida;-1.0;321.0;-;19,46
;sold;;Unknown;-;-1.0;-;-;;;9646.0;;139
;Unknown;$5200;8;two;0.41;672 West Place;Stuarts Draft;VA;;6.553460743801653e-05;;98
10437.0;s;$350000;three;two;1.07;70 Cedar Drive;Unknown;GA;;6.029757805325987e-05;-;93,94
;for_sale;Unknown;Unknown;13;0.0066;Unknown;;Massachusett;26311.0;1370.0;;87,133
19903.0;s;-;three;9;-1.0;249 South Place;Houston;TX;77030.0;;Unknown;-1
33901.0;f;$225000;-;two;;417 East Court;Greenfield;Unknown;-1.0;Unknown;Unknown;-1
-1.0;Unknown;62000;-;4;;47 Lincoln ;Bowi;;207200.0;-;2022-1-5;1
-1.0;Unknown;25700;10;2;;95 Meadow Ave;Somerset;-;;Unknown;2016-07-01;2
53232.0;for_sale;330000;2;;0.3;-;Kingston;-;12401.0;-;;-1
-1.0;Unknown;5879300;;3;0.0066;-;Sparks;;;1876.0;2004-09-10;23
;;;-;9;65.0;-;-;NC;;-;Unknown;-1
687.0;Unknown;355000;12;2;0.19;;Unknown;Unknown;;-;-;-1
-1.0;;11800;;Unknown;46.0;162 Mill St;;;;Unknown;2011-11-14;58
-1.0;-;-;;11;0.0092;-;Albany;-;47320.0;7.206295913682277e-05;06/19/20;127
-1.0;Unknown;9400;-;2;49.0;-;Troy;Unknown;62294.0;Unknown;-;91
54093.0;-;265000;Unknown;1;;;-;Florida;-1.0;321.0;-;3,46
106177.0;f;$399500;;Unknown;;411 Wilson Avenue;Unknown;GA;-1.0;;06/03/02;-1
-1.0;for_sale;Unknown;-;;-1.0;;Unknown;Texaa;76082.0;7891.0;2113-9-26;50
-1.0;for_sale;;Unknown;11;;277 Princess Dr;Livermore;California;;1785.0;2022-04-22;54
-1.0;Unknown;5880000;;4;0.0067;-;Spark;;;1875.0;2005-9-10;13
86329.0;for_sale;699000;4;5;;Unknown;Wetumpka;Alabama;36092.0;4758.0;2015-02-19;116,136
34889.0;sold;Unknown;2;10;0.21;383 Market ;-;Texaa;77024.0;-;2021-12-17;124,130
;-;27800;Unknown;Unknown;0.0087;;Fairfax;Virginia;22030.0;Unknown;Unknown;44
82988.0;-;;Unknown;-;-1.0;71 Hill ;-;-;76501.0;;Unknown;148,40
;Unknown;27000;-;Unknown;7.0;977 Adams Blvd;Westford;Unknown;1886.0;9657.0;2021-11-19;137
;for_sale;-;5;9;-1.0;217 Church Ln;Calabash;North Carolina;28467.0;3058.0;;80
;-;$56600;;one;61.0;380 Valley Lane;-;OH;-1.0;4.003099173553719e-05;08/03/20;146
;-;-;7;-;;550 Second Pl;Julian;;-1.0;130.0;;99
;sold;Unknown;4;10;0.28;73 Franklin Rd;Unknown;North Carolina;-1.0;-;-;-1
;Unknown;$9317000;12;Unknown;;-;;IL;-1.0;3.5511363636363636e-06;11/30/21;-1
-1.0;Unknown;;8;Unknown;4.44;699 Wilson Dr;Crossville;Unknown;38555.0;7566.0;Unknown;60
23117.0;sold;250000;4;3;0.21;Unknown;Mose Lake;Unknown;;1672.0;2012-3-9;119,117
22721.0;s;$799999;-;;0.0082;900 Baker Lane;-;MA;;-;-;-1
-1.0;;-;-;9;57.0;864 Lake Lane;Irving;TX;75060.0;;12/09/21;-1
;s;Unknown;Unknown;-;6.1e-06;;Alexandria;VA;;-;-;113
4630.0;for_sale;;4;12;;;Huntsville;Unknown;-1.0;2778.0;;-1
82977.0;-;;Unknown;-;-1.0;71 Hill Lane;-;-;765022.0;;Unknown;148,27
;;Unknown;9;7;;;Port Washington;New York;;5828.0;2017-05-05;-1
45936.0;;-;12;-;;293 Terrace Court;Skaneateles;;;0.00032717085629017445;Unknown;-1
;f;$5382700;three;two;-1.0;81 Roosevelt Drive;Charlottesville;;22903.0;5.4235537190082644e-05;09/29/11;-1
;-;27800;Unknown;Unknown;0.0087;;Fairfax;Virginia;22030.0;Unknown;Unknown;26
;f;$12128700;one;one;0.58;949 Franklin Boulevard;Unknown;-;;;Unknown;-1
54093.0;-;265000;Unknown;1;;;-;Florida;-1.0;321.0;-;3,19
70245.0;for_sale;Unknown;-;8;;255 Princess Ave;Bettemdorf;Iowah;527722.0;-;2016-11-20;59,104
108243.0;s;$499000;three;three;0.18;Unknown;;Unknown;-1.0;8.210657713498622e-05;03/30/22;-1
;;;Unknown;11;;655 First Street;Unknown;MA;;3.640811524334252e-05;;53
-1.0;for_sale;Unknown;-;;-1.0;;Unknown;Texas;77082.0;7890.0;2013-09-26;21
-1.0;-;;-;;;Unknown;Wichita;-;67207.0;150.0;;65
;sold;;;Unknown;66.0;686 East Ln;Unknown;Nevada;;;Unknown;-1
;;;Unknown;11;;655 First Street;Unknown;MA;;3.640811524334252e-05;;49
-1.0;for_sale;;Unknown;10;;277 Princess ;Livemore;california;;1786.0;2022-5-22;22
22671.0;;$90000;-;two;;;-;MO;63115.0;;-;-1
;s;;;9;;842 Cedar Drive;;CO;80550.0;9.462522956841138e-05;;-1
;sold;-;4;8;;;Great Falls;-;59405.0;-;2021-11-09;111
-1.0;;11800;;Unknown;46.0;162 Mill St;;;;Unknown;2011-11-14;16
79245.0;for_sale;Unknown;-;7;;254 Princess Ave;Bettendorf;Iowa;52722.0;-;2016-11-21;104,47
-1.0;Unknown;;7;Unknown;4.4;698 Wilson Dr;Crossvile;Unknown;3855.0;7566.5;Unknown;34
8.0;-;Unknown;8;Unknown;;Unknown;-;WY;82007.0;;Unknown;-1
-1.0;s;-;-;;-1.0;168 Bridge Place;-;Unknown;63122.0;0.00031142389807162533;11/23/21;-1
28222.0;;2450000;;4;60.0;;-;Unknown;90064.0;2751.0;Unknown;-1
56084.0;-;$279900;8;two;-1.0;593 Elm Avenue;Madison;WI;-1.0;Unknown;-;-1
-1.0;-;;-;;;Unknown;Wichita;-;67207.0;150.0;;51
;;$16752300;8;;0.2;Unknown;Allison Park;;;-;04/13/22;-1
-1.0;s;$50500;five;;0.29;286 Bridge ;Unknown;mo;6314.0;0.000395646808999081;Unknown;84
;for_sale;Unknown;3;7;-1.0;862 King Blvd;Unknown;-;;-;2017-12-29;-1
22562.0;;$210000;;two;53.0;Unknown;Dearborn Heights;MI;;-;;-1
-1.0;;Unknown;Unknown;-;0.5;Unknown;Faireview;Michigam;48611.0;18.05;2022-5-14;71
-1.0;;Unknown;Unknown;-;0.0045;Unknown;Fairview;Michigan;48621.0;18.0;2022-04-14;70
7884.0;Unknown;$390000;;Unknown;;;North Portt;Florida;-1.0;2.9413452708907252e-05;;144,115
;f;Unknown;three;;0.2;88 East Avenue;Unknown;Unknown;78254.0;;;77
;Unknown;-;Unknown;;;-;San Jacinto;-;;;Unknown;-1
53673.0;f;$112900;-;two;14.0;-;Mount Pleasant;MI;48858.0;Unknown;08/13/12;-1
553016.0;-;240000;8;-;0.55;-;Oaks Ridge;-;38830.0;Unknown;2222-2-2;96,143
;f;Unknown;three;;0.2;88 East Avenue;Unknown;Unknown;78254.0;;;73
;-;-;;;;Unknown;Spokane;WA;99207.0;0.00032648932506887054;;-1
;;-;7;-;0.23;Unknown;;TX;-1.0;Unknown;01/19/22;-1
;for_sale;-;6;8;-1.0;218 Church Ln;Calabas;North Carol.;28466.0;3059.0;;29
;sold;4422400;4;-;;614 Garden Ct;Pooler;Georgia;31322.0;9838.0;-;-1
;s;$2703400;three;-;0.07;-;Vienna;VA;22180.0;0.0003252338728191001;04/22/22;-1
;;15900;Unknown;4;44.0;668 Maple Ave;;-;-1.0;Unknown;2019-04-19;126
-1.0;s;$50000;four;;0.28;286 Bridge Lane;Unknown;MO;63114.0;0.00039564680899908174;Unknown;67
-1.0;sold;20564600;4;-;1.08;763 Adams Pl;Melbourne;Unknown;32934.0;84.0;-;-1
;s;Unknown;;6;;53 North Boulevard;Unknown;-;;Unknown;04/08/23;123
;for_sale;Unknown;Unknown;12;0.0064;Unknown;;Massachusetts;2631.0;1368.0;;133,7
56699.0;s;-;;-;50.0;Unknown;;MO;;0.00030435749540863176;03/04/22;-1
;for_sale;;Unknown;;;675 Circle Dr;Hulbert;Oklahoma;-1.0;;2018-04-19;149
