brokered_by;status;price;bed;bath;acre_lot;street;city;state;zip_code;house_size;prev_sold_date;duplicate
;Unknown;11367400;11;2;0.28;676 South Blvd;Troy;Illinois;62294.0;-;;-1
;sold;2535000;4;2;;-;Great Falls;;59405.0;Unknown;2021-11-09;-1
97679.0;sold;Unknown;Unknown;11;45.0;82 Lincoln Ave;Unknown;North Carolina;-1.0;-;Unknown;-1
;s;$19252400;three;two;0.41;672 West Place;Stuarts Draft;VA;24477.0;6.553460743801653e-05;02/14/22;-1
-1.0;s;$1652630;-;thre;6.7;Unknown;Alaxandria;VI;;;Unknown;13
687.0;;355000;7;2;0.19;-;;Florida;;Unknown;-;22,121
-1.0;;Unknown;-;9;0.0073;-;Albany;Unknown;47320.0;7.206295913682277e-05;06/19/20;-1
;for_sale;;5;Unknown;0.3;;Wichita;Unknown;67207.0;3.4;Unknown;58
78139.0;f;$425000;one;one;0.58;949 Franklin Boulevard;-;CO;;;;-1
;for_sale;Unknown;-;11;0.0042;277 Princess Dr;Livermore;California;94550.0;1785.0;2022-04-22;-1
10649.0;Unknown;$219900;10;-;0.2;430 Church Road;Allison Park;PA;15101.0;4.6631083562901745e-06;04/13/22;-1
3479.0;s;Unknown;five;11;0.3;864 Lake Lane;Irving;TX;75060.0;0.00011155589990817264;12/09/21;117,84
10437.0;s;$350000;three;two;1.07;70 Cedar Drive;Unknown;GA;30041.0;6.029757805325987e-05;;-1
-1.0;s;$16526300;-;three;67.0;Unknown;Alexandria;VA;;;Unknown;4
22562.0;-;$210000;11;two;0.15;272 Farm Boulevard;Dearborn Heights;MI;;7.030532598714416e-05;Unknown;45,62
-1.0;-;69600;7;2;0.18;;Unknown;Texas;;Unknown;2022-03-31;79
53232.0;for_sale;330000;2;1;0.3;225 Broadway Ct;Kingston;New York;12401.0;-;2014-07-01;-1
;for_sale;47900;6;4;0.35;668 Maple Ave;Saratoga Springs;Unknown;-1.0;3625.0;2019-04-19;107
109950.0;s;-;three;;0.23;-;Fort Worth;TX;76133.0;Unknown;01/19/22;-1
53673.0;f;$112900;Unknown;two;5.0;Unknown;Mount Pleasant;MI;48858.0;-;08/13/12;-1
;sold;56600;-;3;;47 Lincoln Rd;Bowie;-;20720.0;-;2022-01-04;69
;sold;54100;-;Unknown;56.0;Unknown;Fairfax;Virginia;22030.0;87.0;Unknown;86
687.0;;355000;7;2;0.19;-;;Florida;;Unknown;-;5,121
104876.0;;$398000;11;-;0.11;-;-;IL;;0.0003795052800734619;11/30/21;-1
56085.0;-;$280000;eigth;TWO;;593 Elm A.;MADISON;wi;53794.0;6.094323921028467e-06;;72,88
-1.0;sold;6500;Unknown;2;46.0;977 Adams Blvd;Westford;Massachusetts;1886.0;2211.0;2021-11-19;114
;for_sale;-;Unknown;;45.0;675 Circle Dr;Hulbert;Oklahoma;74441.0;7294.0;2018-04-19;129
54093.0;-;265000;;1;0.00088;-;Marathon;Florida;;321.0;Unknown;-1
92736.0;for_sale;175000;3;2;-1.0;862 King Blvd;-;;-1.0;1144.0;2017-12-29;-1
;-;$25700;;one;;655 First Street;Unknown;MA;;3.640811524334252e-05;;104
;;22598300;9;2;;95 Meadow Ave;Somerset;-;-1.0;1923.0;2016-07-01;-1
;sold;-;3;10;4.44;699 Wilson Dr;Crossville;Tennessee;38555.0;3352.0;-;-1
22721.0;sold;799999;;;11.0;900 Baker Ln;Unknown;Massachusetts;;;2022-04-05;-1
8.0;for_sale;Unknown;3;;;Unknown;;Wyoming;82007.0;-;2022-10-31;-1
22671.0;sold;90000;3;2;0.09;-;;Missouri;63115.0;;2022-03-24;-1
;sold;;Unknown;;0.81;;fairview;Micigan;48622.0;180.0;2022-44-14;47
75073.0;;$375000;11;one;;766 Church Street;Columbus;OH;43206.0;Unknown;07/06/20;-1
-1.0;Unknown;14344000;11;Unknown;27.59;550 Second Pl;Julian;Unknown;;9389.0;2020-05-15;-1
-1.0;s;$9444600;four;one;0.28;286 Bridge Lane;-;MO;63114.0;5.825298438934803e-05;01/18/22;50
-1.0;;61000;7;1;0.15;380 Valley Ln;Unknown;Ohio;45324.0;1116.0;2020-08-03;126
-1.0;;39400;7;-;0.06;162 Mill St;Tustin;;;;2011-11-14;68
22916.0;sold;Unknown;4;12;0.28;73 Franklin Rd;;North Carolina;-1.0;3162.0;-;-1
;for_sale;-;4;12;;Unknown;Houston;Texas;77082.0;4156.0;2013-09-26;-1
;for_sale;-;5;11;-1.0;217 Church Ln;Calabash;North Carolina;28467.0;3058.0;Unknown;97
55214.0;sold;509900;;3;;Unknown;San Jacinto;California;92583.0;2383.0;-;-1
22552.0;-;$200000;12;tvo;0.155;272 Farm Bulevard;Dearborn H.;Mi;;7.03e-05;Unknown;14,62
;Unknown;21315900;Unknown;3;61.0;;Sparks;Nevada;89441.0;1876.0;2004-09-10;-1
;sold;;Unknown;;0.0081;;Fairview;Michigan;48621.0;18.0;2022-04-14;35
78075.0;sold;Unknown;2;12;0.06;686 East Ln;-;Nevada;;;2021-11-19;-1
75016.0;s;$317900;;two;61.0;168 Bridge Place;Unknown;;63122.0;7.288797061524334e-05;11/23/21;-1
-1.0;s;$944600;for;ONE;0.3;286 Brige Lane;-;M0;62114.0;5E-05;91/18/22;38
2177.0;s;$479900;three;two;0.13;842 Cedar Drive;;CO;80550.0;9.462522956841138e-05;-;-1
78200.0;sold;149000;3;;0.15;;Akron;-;44314.0;140.0;2022-02-09;-1
51450.0;;;8;Unknown;-1.0;59 Park Boulevard;;;;8500.0;2022-1-1;91,122
-1.0;f;$43200;three;-;0.2;88 East Avenue;San Antonio;Unknown;78254.0;3.945707070707071e-06;05/14/04;77
96014.0;Unknown;-;11;12;;;Spokane;Washington;99207.0;2084.0;;-1
19903.0;sold;;3;9;0.18;249 South Pl;Houston;Texas;77030.0;Unknown;;-1
;sold;69600;Unknown;Unknown;66.0;63 Field Dr;Sumter;South Carolina;29154.0;Unknown;-;80
;for_sale;;5;Unknown;0.3;;Wichita;Unknown;67207.0;3.4;Unknown;7
21986.0;sold;269900;4;3;0.17;614 Garden Ct;Pooler;Georgia;31322.0;2368.0;Unknown;-1
84534.0;s;$689900;three;four;0.07;920 Field Drive;Vienna;VA;22180.0;7.443038337924701e-05;04/22/22;-1
24268.0;for_sale;550000;3;2;0.22;81 Roosevelt Dr;Charlottesville;Unknown;22903.0;1512.0;2011-09-29;-1
2562.0;-;$21000;1;2;0.1;222 Farm Boulevard;Dearborn Heigths;M1;;7.0305326e-05;Unknown;14,45
26543.0;sold;600000;4;Unknown;1.08;763 Adams Pl;Melbourne;;32934.0;30.0;Unknown;-1
16829.0;Unknown;1979000;8;6;0.29;;Port Washington;New York;11050.0;5828.0;2017-05-05;-1
10726.0;for_sale;;-;10;50.0;226 Square Rd;Brewster;Massachusetts;2631.0;1368.0;2001-07-06;-1
56699.0;sold;249900;3;2;0.29;115 Roosevelt Pl;Ellisville;Missouri;;2037.0;2022-03-04;-1
-1.0;sold;-;-;8;0.0088;144 Terrace Blvd;;Idaho;83605.0;1574.0;2021-12-17;108
-1.0;;39400;7;-;0.06;162 Mill St;Tustin;;;;2011-11-14;40
;sold;5600;-;4;;47 Lincol Rd;bowie;-;200720.0;-;0202-1-4;20
53016.0;sold;239000;3;-;0.56;-;Oak Ridge;-;37830.0;;2022-02-02;-1
102016.0;Unknown;$374900;7;;0.14;368 Shore Road;-;FL;33542.0;6.097910927456382e-07;04/25/19;-1
56084.0;-;$279900;8;two;;593 Elm Avenue;Madison;WI;53704.0;6.094323921028467e-05;;24,88
53173.0;s;$350000;three;two;0.9;693 Ridge Place;Harpers Ferry;;25425.0;0.0001155016069788797;;90,101
31355.0;s;$2365000;five;five;;;-;;55424.0;0.0001759426652892562;12/30/21;-1
45807.0;Unknown;;;12;;Unknown;New Middletown;-;44442.0;1747.0;1991-04-17;-1
;for_sale;9354500;3;3;0.23;885 Washington Ave;Iselin;-;;-;Unknown;-1
-1.0;f;$43200;three;-;0.2;88 East Avenue;San Antonio;Unknown;78254.0;3.945707070707071e-06;05/14/04;54
101497.0;for_sale;129900;4;2;1.95;575 King Pl;Eastover;South Carolina;29044.0;2128.0;2021-09-20;-1
-1.0;-;69600;7;2;0.18;;Unknown;Texas;;Unknown;2022-03-31;15
;sold;70000;Unknown;Unknown;6.6;63 Field Dir;Sunter;SouthCarolina;29254.0;Unknown;-;57
;sold;-;4;10;;52 N. Blvd;Alambra;Californja;-1.0;;2022-04-88;94
53592.0;f;Unknown;four;;-1.0;779 Third Boulevard;Mchenry;IL;60050.0;0.0003705377640036731;04/02/20;-1
107955.0;for_sale;2199000;3;-;0.3;20 First Dr;;;2043.0;;1992-10-22;-1
3479.0;s;Unknown;five;11;0.3;864 Lake Lane;Irving;TX;75060.0;0.00011155589990817264;12/09/21;11,117
15757.0;Unknown;;12;;0.17;520 View Rd;Unknown;Oklahoma;;10720.0;2016-06-09;-1
;sold;5410;-;Unknown;60.0;Unknown;Fairfox;VIRGINIA;2230.0;877.0;Unknown;21
86329.0;for_sale;699000;4;5;14.25;;Wetumpka;Alabama;36092.0;4758.0;2015-02-19;-1
56984.0;-;$279990;7;One;;600 Elm Avenue;madison;W1;537004.0;6,094e-04;;72,24
58970.0;-;;8;10;;-;Kensington;;;2500.0;-;-1
63173.0;s;$355000;thre;TWO;0.99;693 Ridge Pl;Harper Ferry;;25525.0;0.0001155;;73,101
5145.0;;;9;Unknown;-1.0;59 Park Blvd;;;;8532.0;2022-01-10;53,122
22611.0;for_sale;215000;3;2;0.12;995 Maple Ave;-;Illinois;60409.0;1304.0;2013-08-15;-1
57424.0;sold;935000;5;5;;409 Wood Ct;Manteca;Unknown;95337.0;3789.0;2022-02-18;-1
;sold;-;3;11;;52 North Blvd;Alhambra;California;-1.0;;2022-04-08;81
34888.0;sold;389000;3;2;0.22;383 Market St;Houston;Texas;77025.0;1696.0;2021-12-16;-1
;f;$5374200;three;two;0.37;223 Lake Street;Long Beach;CA;90802.0;-;06/10/16;-1
;for_sale;-;6;10;-1.0;227 Church Ln;Calbash;N. Carolina;2867.0;3060.0;Unknown;43
22611.0;Unknown;$280000;12;Unknown;0.19;952 King Road;Monroeville;-;15146.0;;;-1
108243.0;s;$499000;three;three;0.18;Unknown;-;WA;;8.210657713498622e-05;03/30/22;-1
4630.0;for_sale;519950;4;3;;906 Mill Blvd;Huntsville;Alabama;;2778.0;-;-1
3173.0;s;350000;tree;2;1.0;703 Ridge Place;harpers ferry;;2525.0;0.12;;73,90
23017.0;sold;240000;3;2;0.2;Unknown;Moses Lake;-;98837.0;1670.0;2022-03-09;-1
81031.0;-;219000;7;2;-1.0;;Chambersburg;Pennsylvania;17202.0;1189.0;2021-11-24;-1
;-;$26000;;une;;655 1st Street;Unknown;ma;;3.64e-05;;29
45913.0;;Unknown;-;Unknown;;94 Washington Ave;Queensbury;New York;12804.0;Unknown;2021-11-23;-1
106177.0;f;$399500;three;Unknown;;411 Wilson Avenue;Unknown;GA;31405.0;0.0002871398645546373;06/03/02;-1
;for_sale;48000;5;3;0.3;68 Maple Ave;Saratoga Spring;Unknown;-1.0;362.0;2019-3-19;17
